,dataset_id,filename,year,layer,xlnet_corr,xlnet_pvalue,roberta_corr,roberta_pvalue,xlm_corr,xlm_pvalue
114,headlines_2014,headlines,2014,8,0.058701429132233425,0.0,0.04772871273715181,0.0,-0.003352833738194938,0.00023362440643202845
115,headlines_2015,headlines,2015,8,0.08733395318978646,0.0,0.05371256972676655,0.0,-0.005516865679258319,1.2564804700328019e-09
116,headlines_2016,headlines,2016,8,0.07332962146463616,7.759365451911806e-139,0.09094750886632373,1.849880294654922e-212,0.0012591435206549075,0.6666949705944685
117,images_2014,images,2014,8,0.10651011142796456,0.0,0.038241874398042136,0.0,-0.0051712137377229244,1.3034880766576974e-08
118,images_2015,images,2015,8,0.10561842676429588,0.0,0.0515023884276806,0.0,0.0050725716287196914,2.2867299684756994e-08
119,track5.en-en_2017,track5.en-en,2017,8,0.08547732064021885,2.4033897923670817e-214,0.0642350770650215,6.20225064459824e-122,-0.008126036075288874,0.0029721251602741515
120,MSRpar_2012test,MSRpar,2012test,9,0.1051521254561717,0.0,0.026381504142788913,7.595290666871271e-190,0.024022982139767023,9.052133470058309e-158
121,MSRpar_2012train,MSRpar,2012train,9,0.10503133779028556,0.0,0.038035077761191846,0.0,0.014261711753587078,7.020049228183118e-57
122,MSRvid_2012test,MSRvid,2012test,9,0.15552483934817024,0.0,0.09481400201184505,0.0,0.0019066972026672497,0.03328644836717473
123,MSRvid_2012train,MSRvid,2012train,9,0.1500856327988555,0.0,0.11587469766527693,0.0,0.0035256416308986544,8.173341893233592e-05
124,answer-answer_2016,answer-answer,2016,9,0.11632610957262432,0.0,0.049044759688679294,6.75252897967206e-66,0.030532084654527704,1.34870645965346e-26
125,answers-forums_2015,answers-forums,2015,9,0.03708513456248108,1.7032685359906095e-91,0.02042148951201586,5.660989486305729e-29,0.015605054576907137,1.3868168320550922e-17
126,deft-forum_2014,deft-forum,2014,9,0.06136234622393734,0.0,-0.0016960944255256015,0.2628815158704638,0.018550514859890455,1.7790046071098146e-34
127,deft-news_2014,deft-news,2014,9,0.15696674651196654,0.0,0.027918018813005877,2.6381349366888553e-34,-0.014855697215091461,8.08833897619807e-11
128,headlines_2013,headlines,2013,9,0.055543997096937484,0.0,0.0537270686457722,0.0,0.0038845569858627312,1.9645240560527362e-05
129,headlines_2014,headlines,2014,9,0.03935695295670881,0.0,0.03609256793124017,0.0,-0.007608697331783683,6.815980955044583e-17
130,headlines_2015,headlines,2015,9,0.08255289565585744,0.0,0.053582584091167444,0.0,-0.0031098620861130764,0.000618704424943588
131,headlines_2016,headlines,2016,9,0.08069006661481448,1.1148395264700443e-167,0.09408738945082029,3.105082050414091e-227,-0.0057695397503850524,0.04844278486110743
132,images_2014,images,2014,9,0.1215215766428731,0.0,0.0406019511045446,0.0,0.002037414716445205,0.025085641944557143
133,images_2015,images,2015,9,0.11151376884213846,0.0,0.0675681487086281,0.0,0.003671290112740747,5.234631618972146e-05
134,track5.en-en_2017,track5.en-en,2017,9,0.0893422862942728,5.677138215147262e-234,0.05801992724549463,7.698384543782507e-100,-0.011551966833214161,2.410592798923057e-05
