,model,layer,same_relation_group_rdm_corr,same_relation_group_rdm_std,same_relation_group_rdm_corr_within_compound_sentences,same_relation_group_rdm_std_within_compound_sentences,same_head_rdm_corr,same_head_rdm_std,same_head_rdm_corr_within_compound_sentences,same_head_rdm_std_within_compound_sentences,same_modifier_rdm_corr,same_modifier_rdm_std,same_modifier_rdm_corr_within_compound_sentences,same_modifier_rdm_std_within_compound_sentences
52,bert-base-uncased,1,0.28648153854138714,0.07937139348805401,0.06547285010986552,0.16490842119180138,0.49611855271337435,0.1076161541134096,0.3968972548640727,0.20674379855434952,0.3973673482712462,0.11011035059495967,0.3786797405827355,0.19578383206252004
53,bert-base-uncased,2,0.2868731406538549,0.07965432989029068,0.07340551839683623,0.17387508418853886,0.48890917469494194,0.11373823807155069,0.39588178565063087,0.2107421136845938,0.3899680482540185,0.1155693265741905,0.38200885742946106,0.20359937316386598
54,bert-base-uncased,3,0.29041697294739566,0.08685529290877655,0.07860538326873205,0.19876181190131112,0.479777248874351,0.11272920544176461,0.4187216515537088,0.18393340253565008,0.3707715595413179,0.11478785509980849,0.34738630477263255,0.2026761094569341
55,bert-base-uncased,4,0.2937500026800369,0.09229887505312136,0.1153081424671502,0.20712575648793163,0.48578118030104356,0.10425956479348095,0.511393140811293,0.15817795487268257,0.33722233755492365,0.11098219532277702,0.24972018087421546,0.16377498273659616
56,bert-base-uncased,5,0.30722125605765954,0.10310985616237237,0.11654167319556064,0.22748023324186886,0.5110709463097113,0.10796410096244427,0.5470384150841815,0.1656299362227638,0.28822327930810493,0.11698162913395645,0.1769176089031416,0.16389681266868172
57,bert-base-uncased,6,0.3158809546579112,0.11585878101086902,0.14404027024170415,0.22183608427242485,0.4760618529233905,0.12274555049328176,0.5524600821561179,0.16032768072865608,0.2698262065120639,0.11401830409299027,0.14655627330029838,0.17935515916089043
58,bert-base-uncased,7,0.31360867493565875,0.12166323685709306,0.13094570021973104,0.22160407854298658,0.4639907493791616,0.12184427704621556,0.5383637477690834,0.16031966179879178,0.26928511374677877,0.11264252854920632,0.1584839408585582,0.19597550372716904
59,bert-base-uncased,8,0.31327525093352043,0.12443647842110159,0.13880244223291494,0.22053370853019177,0.4598489703577174,0.1288202482899084,0.5654720831287651,0.1562728939448855,0.25043600485982315,0.11611339793665866,0.09992993648164622,0.18647287541941682
60,bert-base-uncased,9,0.3102269829790097,0.13043083588538001,0.1532064692570853,0.2345756171570461,0.4830604635506794,0.1329918904838026,0.5763154172726376,0.167284179180188,0.22128869077310254,0.11874171909498946,0.05655659990615587,0.1895144783450433
61,bert-base-uncased,10,0.314903081624872,0.12084726191015228,0.13225515722192832,0.21965726514036307,0.5223898412525103,0.12890525852303455,0.5839057511733484,0.1662622597056224,0.24178997240895334,0.13124210199007358,0.04571326576228326,0.19748415751816914
62,bert-base-uncased,11,0.3095364048422674,0.11751582833554099,0.1152322161933633,0.21153304164879463,0.5472419423151753,0.11696846300576479,0.5806527509301866,0.1708038421760758,0.24889767419601863,0.13521960522095364,0.0370385984471852,0.22894595445387336
63,bert-base-uncased,12,0.3061845797692679,0.11290631563389826,0.12047004420215256,0.21491057890968907,0.5418569013670731,0.11654355707291061,0.5643877497143779,0.1695594839271016,0.25814106437331813,0.13624450665467894,0.05221926624860682,0.217374635729793
64,roberta-base,1,0.2606420329552139,0.09112367379302,0.07078660439244164,0.1683650711569089,0.46973784141589986,0.11265360488266873,0.45985745709947917,0.19902973593730394,0.3627101864258208,0.11304988527771503,0.3169488525662255,0.19808407913806067
65,roberta-base,2,0.2687394138563455,0.0942076646068907,0.0851526682797186,0.17526562084802771,0.4661200198478663,0.12059231692122022,0.5020775960596368,0.17927390768944856,0.3440721115204937,0.11729540848581164,0.27024639914400966,0.17473051748947024
