,model,representation,layer,relation_vector_corr,num_top_relations_considered,condition
309,roberta-base,compound,6,0.14081114485824606,14,_consider_magnitude
310,roberta-base,head,6,0.08782963339113994,14,_consider_magnitude
311,roberta-base,modifier,6,0.16726038203460092,14,_consider_magnitude
312,roberta-base,compound,6,0.1378575785738695,15,_consider_magnitude
313,roberta-base,head,6,0.08654702934723246,15,_consider_magnitude
314,roberta-base,modifier,6,0.16573505411784245,15,_consider_magnitude
315,roberta-base,compound,6,0.13711152203836954,16,_consider_magnitude
316,roberta-base,head,6,0.08600281687441914,16,_consider_magnitude
317,roberta-base,modifier,6,0.1650835321433476,16,_consider_magnitude
318,roberta-base,compound,6,0.13616489893425057,17,_consider_magnitude
319,roberta-base,head,6,0.08603730921424534,17,_consider_magnitude
320,roberta-base,modifier,6,0.16418545381379887,17,_consider_magnitude
321,roberta-base,compound,6,0.1365251522613242,18,_consider_magnitude
322,roberta-base,head,6,0.08637456764810149,18,_consider_magnitude
323,roberta-base,modifier,6,0.1646095818442543,18,_consider_magnitude
324,roberta-base,compound,7,0.1790019222015633,1,_consider_magnitude
325,roberta-base,head,7,0.17001393475729126,1,_consider_magnitude
326,roberta-base,modifier,7,0.1251419031527659,1,_consider_magnitude
327,roberta-base,compound,7,0.17817673479622767,2,_consider_magnitude
328,roberta-base,head,7,0.135184527948979,2,_consider_magnitude
329,roberta-base,modifier,7,0.1351527694344614,2,_consider_magnitude
330,roberta-base,compound,7,0.16049883885172375,3,_consider_magnitude
331,roberta-base,head,7,0.10631291533935941,3,_consider_magnitude
332,roberta-base,modifier,7,0.12777234947117444,3,_consider_magnitude
333,roberta-base,compound,7,0.12345140622820411,4,_consider_magnitude
334,roberta-base,head,7,0.0752379481547528,4,_consider_magnitude
335,roberta-base,modifier,7,0.10601355656812511,4,_consider_magnitude
336,roberta-base,compound,7,0.12687252366226776,5,_consider_magnitude
337,roberta-base,head,7,0.07318339200779025,5,_consider_magnitude
338,roberta-base,modifier,7,0.11304501173047157,5,_consider_magnitude
339,roberta-base,compound,7,0.11981148050862304,6,_consider_magnitude
340,roberta-base,head,7,0.06570999997242197,6,_consider_magnitude
341,roberta-base,modifier,7,0.10948427154553428,6,_consider_magnitude
342,roberta-base,compound,7,0.10860487308613515,7,_consider_magnitude
343,roberta-base,head,7,0.0608287709168184,7,_consider_magnitude
344,roberta-base,modifier,7,0.10844772746327579,7,_consider_magnitude
345,roberta-base,compound,7,0.10303933263508437,8,_consider_magnitude
346,roberta-base,head,7,0.056181903252361734,8,_consider_magnitude
347,roberta-base,modifier,7,0.10936423606412714,8,_consider_magnitude
348,roberta-base,compound,7,0.10532565430918367,9,_consider_magnitude
349,roberta-base,head,7,0.05931282889518223,9,_consider_magnitude
350,roberta-base,modifier,7,0.12012799225332367,9,_consider_magnitude
351,roberta-base,compound,7,0.10498126874323328,10,_consider_magnitude
352,roberta-base,head,7,0.05547965111637013,10,_consider_magnitude
353,roberta-base,modifier,7,0.12401082037475289,10,_consider_magnitude
354,roberta-base,compound,7,0.10225765139103135,11,_consider_magnitude
355,roberta-base,head,7,0.05251841986758775,11,_consider_magnitude
356,roberta-base,modifier,7,0.12256980706645844,11,_consider_magnitude
357,roberta-base,compound,7,0.10111812668269922,12,_consider_magnitude
358,roberta-base,head,7,0.051866897893092914,12,_consider_magnitude
359,roberta-base,modifier,7,0.12334396847144641,12,_consider_magnitude
360,roberta-base,compound,7,0.09906902619820959,13,_consider_magnitude
361,roberta-base,head,7,0.05440911108769039,13,_consider_magnitude
362,roberta-base,modifier,7,0.1241666746510046,13,_consider_magnitude
363,roberta-base,compound,7,0.09873176776435345,14,_consider_magnitude
364,roberta-base,head,7,0.058213488421113145,14,_consider_magnitude
365,roberta-base,modifier,7,0.1232775387799293,14,_consider_magnitude
366,roberta-base,compound,7,0.09543838805798546,15,_consider_magnitude
367,roberta-base,head,7,0.056772475112818695,15,_consider_magnitude
368,roberta-base,modifier,7,0.12213801407159716,15,_consider_magnitude
369,roberta-base,compound,7,0.09483285586992556,16,_consider_magnitude
370,roberta-base,head,7,0.056358567034904335,16,_consider_magnitude
371,roberta-base,modifier,7,0.12161424150386603,16,_consider_magnitude
372,roberta-base,compound,7,0.09421582623525691,17,_consider_magnitude
373,roberta-base,head,7,0.05676864263061579,17,_consider_magnitude
374,roberta-base,modifier,7,0.12082858265226931,17,_consider_magnitude
375,roberta-base,compound,7,0.09458374452673636,18,_consider_magnitude
376,roberta-base,head,7,0.05710590106447193,18,_consider_magnitude
377,roberta-base,modifier,7,0.12131147540983607,18,_consider_magnitude
378,roberta-base,compound,8,0.1823809056952697,1,_consider_magnitude
379,roberta-base,head,8,0.16574402957071052,1,_consider_magnitude
380,roberta-base,modifier,8,0.13478178451865333,1,_consider_magnitude
381,roberta-base,compound,8,0.16498636509991582,2,_consider_magnitude
382,roberta-base,head,8,0.13687655102800028,2,_consider_magnitude
383,roberta-base,modifier,8,0.1188235998866596,2,_consider_magnitude
384,roberta-base,compound,8,0.15130998534732912,3,_consider_magnitude
385,roberta-base,head,8,0.10628475140701815,3,_consider_magnitude
386,roberta-base,modifier,8,0.12312826525932277,3,_consider_magnitude
387,roberta-base,compound,8,0.11513400196675551,4,_consider_magnitude
388,roberta-base,head,8,0.068463299098125,4,_consider_magnitude
389,roberta-base,modifier,8,0.09944640471808454,4,_consider_magnitude
390,roberta-base,compound,8,0.11272082851593011,5,_consider_magnitude
391,roberta-base,head,8,0.0696212513476096,5,_consider_magnitude
392,roberta-base,modifier,8,0.09951843481456445,5,_consider_magnitude
393,roberta-base,compound,8,0.1133883043543889,6,_consider_magnitude
394,roberta-base,head,8,0.06896186876800577,6,_consider_magnitude
395,roberta-base,modifier,8,0.09700236383271733,6,_consider_magnitude
396,roberta-base,compound,8,0.10190382599753865,7,_consider_magnitude
397,roberta-base,head,8,0.06348236001176882,7,_consider_magnitude
398,roberta-base,modifier,8,0.09443110446823437,7,_consider_magnitude
399,roberta-base,compound,8,0.09628391164280439,8,_consider_magnitude
400,roberta-base,head,8,0.06203540911216258,8,_consider_magnitude
401,roberta-base,modifier,8,0.09423096884125486,8,_consider_magnitude
402,roberta-base,compound,8,0.09504053971625442,9,_consider_magnitude
403,roberta-base,head,8,0.06164936778357715,9,_consider_magnitude
404,roberta-base,modifier,8,0.100891468151929,9,_consider_magnitude
405,roberta-base,compound,8,0.09535790593172433,10,_consider_magnitude
406,roberta-base,head,8,0.059102624292188446,10,_consider_magnitude
407,roberta-base,modifier,8,0.10356452782222392,10,_consider_magnitude
408,roberta-base,compound,8,0.09430014084372096,11,_consider_magnitude
409,roberta-base,head,8,0.057375452312743325,11,_consider_magnitude
410,roberta-base,modifier,8,0.10306630513584553,11,_consider_magnitude
411,roberta-base,compound,8,0.0942183812233922,12,_consider_magnitude
412,roberta-base,head,8,0.05834890279228266,12,_consider_magnitude
413,roberta-base,modifier,8,0.10395799599505609,12,_consider_magnitude
414,roberta-base,compound,8,0.09261384867444022,13,_consider_magnitude
415,roberta-base,head,8,0.060464432968289406,13,_consider_magnitude
416,roberta-base,modifier,8,0.10424926464247732,13,_consider_magnitude
417,roberta-base,compound,8,0.09271093822358063,14,_consider_magnitude
418,roberta-base,head,8,0.06391622193904438,14,_consider_magnitude
